WEEK,COUNT,DEATHDT,MONTH,YRSEAS,JAN1,FLUA,FLUB,RSVPOS,PCTA,PCTB,WEEKOFYRS
304,3765,1998-06-28,6,1998,0,0,0,40,0,0,43
305,3808,1998-07-05,7,1998,0,0,0,20,0,0,44
306,3909,1998-07-12,7,1998,0,1,0,13,0.0037,0,45
307,3788,1998-07-19,7,1998,0,0,0,8,0,0,46
308,3764,1998-07-26,7,1998,0,0,0,10,0,0,47
309,3783,1998-08-02,8,1998,0,0,0,6,0,0,48
310,3763,1998-08-09,8,1998,0,0,0,11,0,0,49
311,3755,1998-08-16,8,1998,0,0,0,4,0,0,50
312,3878,1998-08-23,8,1998,0,1,0,10,0.0034,0,51
313,3740,1998-08-30,8,1998,0,4,0,8,0.0154,0,52
314,3674,1998-09-06,9,1999,0,1,0,4,0.004,0,1
315,3820,1998-09-13,9,1999,0,0,0,16,0,0,2
316,3872,1998-09-20,9,1999,0,1,0,18,0.0024,0,3
317,3905,1998-09-27,9,1999,0,2,0,19,0.0055,0,4
318,4044,1998-10-04,10,1999,0,1,0,14,0.002,0,5
319,3917,1998-10-11,10,1999,0,1,0,21,0.0021,0,6
320,4010,1998-10-18,10,1999,0,0,0,36,0,0,7
321,4089,1998-10-25,10,1999,0,0,0,29,0,0,8
322,4162,1998-11-01,11,1999,0,2,0,32,0.0026,0,9
323,4223,1998-11-08,11,1999,0,3,0,48,0.0029,0,10
324,4013,1998-11-15,11,1999,0,9,0,63,0.0117,0,11
325,4106,1998-11-22,11,1999,0,7,0,97,0.0092,0,12
326,4072,1998-11-29,11,1999,0,7,1,97,0.0087,0.0012,13
327,4193,1998-12-06,12,1999,0,9,2,144,0.0101,0.0022,14
328,4319,1998-12-13,12,1999,0,12,0,223,0.0118,0,15
329,4318,1998-12-20,12,1999,0,12,0,240,0.0137,0,16
330,4602,1998-12-27,12,1999,0,35,0,276,0.0326,0,17
331,4895,1999-01-03,1,1999,1,106,0,385,0.069,0,18
332,4811,1999-01-10,1,1999,0,166,3,337,0.0918,0.0017,19
333,4770,1999-01-17,1,1999,0,217,12,420,0.1062,0.0059,20
334,4677,1999-01-24,1,1999,0,279,17,471,0.113,0.0069,21
335,4801,1999-01-31,1,1999,0,441,41,549,0.1446,0.0134,22
336,4840,1999-02-07,2,1999,0,556,51,581,0.1498,0.0137,23
337,4883,1999-02-14,2,1999,0,550,66,460,0.1612,0.0193,24
338,5020,1999-02-21,2,1999,0,489,80,479,0.1426,0.0233,25
339,4920,1999-02-28,2,1999,0,438,102,471,0.1427,0.0332,26
340,4706,1999-03-07,3,1999,0,361,96,386,0.1412,0.0375,27
341,4492,1999-03-14,3,1999,0,268,85,330,0.1239,0.0393,28
342,4396,1999-03-21,3,1999,0,147,73,200,0.0923,0.0459,29
343,4322,1999-03-28,3,1999,0,115,50,135,0.0937,0.0407,30
344,4112,1999-04-04,4,1999,0,75,37,115,0.0632,0.0312,31
345,4060,1999-04-11,4,1999,0,61,52,107,0.0563,0.048,32
346,4109,1999-04-18,4,1999,0,27,17,84,0.0354,0.0223,33
347,3989,1999-04-25,4,1999,0,39,11,43,0.0549,0.0155,34
348,4136,1999-05-02,5,1999,0,11,10,34,0.0198,0.018,35
349,4106,1999-05-09,5,1999,0,14,10,30,0.0253,0.0181,36
350,3876,1999-05-16,5,1999,0,9,8,11,0.0214,0.019,37
351,3939,1999-05-23,5,1999,0,3,3,11,0.0069,0.0069,38
352,4030,1999-05-30,5,1999,0,10,3,11,0.0236,0.0071,39
353,3847,1999-06-06,6,1999,0,5,0,7,0.0139,0,40
354,3845,1999-06-13,6,1999,0,4,2,6,0.0098,0.0049,41
355,3906,1999-06-20,6,1999,0,6,0,5,0.0177,0,42
356,3785,1999-06-27,6,1999,0,1,0,1,0.0042,0,43
357,3665,1999-07-04,7,1999,0,15,0,4,0.0427,0,44
358,3862,1999-07-11,7,1999,0,11,1,1,0.0335,0.003,45
359,3844,1999-07-18,7,1999,0,6,0,4,0.0207,0,46
360,3924,1999-07-25,7,1999,0,1,0,1,0.0035,0,47
361,3760,1999-08-01,8,1999,0,1,0,4,0.0029,0,48
362,3841,1999-08-08,8,1999,0,22,2,4,0.0777,0.0071,49
